,Rating,Year,Genre
0,8.0,2016,Pop/R&B
1,7.8,2016,Rock
2,7.8,2016,Experimental
3,7.5,2016,Electronic
4,7.3,2016,Experimental
5,6.9,2016,Rap
6,7.9,2016,Rock
7,8.0,2016,Rock
8,7.5,2016,Rock
9,6.5,2016,Metal
10,8.0,2016,Electronic
11,8.0,2016,Rock
12,7.3,2016,Folk/Country
13,7.4,2016,Rock
14,6.6,2016,Rock
15,8.0,2016,Rock
16,7.8,2016,Rock
17,7.8,2016,Experimental
18,7.8,2016,Pop/R&B
19,7.4,2016,Rock
20,6.5,2016,Electronic
21,6.7,2016,Rock
22,7.5,2016,Electronic
23,6.4,2016,Rock
24,6.5,2016,Rap
25,9.0,2016,Rap
26,7.4,2016,Pop/R&B
27,6.3,2016,Electronic
28,6.4,2016,Metal
29,8.5,2016,Folk/Country
30,8.2,2016,Electronic
31,7.7,2016,Electronic
32,6.8,2016,Experimental
33,7.0,2016,Rap
34,5.4,2016,Pop/R&B
35,7.9,2016,Experimental
36,8.6,2016,Rock
37,8.6,2016,Global
38,6.8,2016,Pop/R&B
39,7.4,2016,Rock
40,7.4,2016,Global
41,7.4,2016,Electronic
42,7.9,2016,Folk/Country
43,8.0,2016,Rock
44,8.0,2016,Jazz
45,8.0,2016,Experimental
46,8.0,2016,Electronic
47,6.8,2016,Rock
48,7.5,2016,Experimental
49,6.6,2016,Rock
50,7.2,2016,Electronic
51,6.0,2016,Rap
52,8.5,2003,Rock
53,6.8,2016,Metal
54,6.5,2016,Pop/R&B
55,7.2,2016,Rap
56,7.8,2016,Rap
57,3.5,2016,Electronic
58,6.3,2016,Rock
59,8.0,2016,Jazz
60,5.9,2016,Pop/R&B
61,6.0,2016,Rap
62,8.0,2016,Folk/Country
63,7.2,2016,Pop/R&B
64,6.8,2016,Pop/R&B
65,7.9,2016,Rock
66,7.1,2016,Rap
67,6.5,2016,Rock
68,7.6,2016,Rock
69,7.3,2016,Jazz
70,7.3,2016,Experimental
71,7.2,2016,Rap
72,6.0,2016,Rock
73,7.9,2016,Rap
74,7.3,2016,Electronic
75,6.5,2016,Rap
76,7.4,2016,Electronic
77,6.6,2016,Rock
78,7.7,2016,Electronic
79,9.0,2016,Pop/R&B
80,6.8,2016,Pop/R&B
81,6.9,2016,Rap
82,7.5,2016,Jazz
83,7.9,2016,Electronic
84,6.9,2016,Metal
85,7.1,2016,Rock
86,7.0,2016,Pop/R&B
87,7.6,2016,Electronic
88,8.0,2016,Rock
89,7.8,2016,Electronic
90,6.9,2016,Rap
91,7.6,2016,Metal
